"IDmouse","ExpGroup","time","TVolume","lab"
"1-Ctr-WT9","Ctr-WT",12,874,"Lab 1"
"1-Ctr-WT9","Ctr-WT",15,1430,"Lab 1"
"2-Ctr-WT1","Ctr-WT",0,279,"Lab 2"
"2-Ctr-WT1","Ctr-WT",3,480,"Lab 2"
"2-Ctr-WT1","Ctr-WT",6,609,"Lab 2"
"2-Ctr-WT1","Ctr-WT",9,1281,"Lab 2"
"2-Ctr-WT1","Ctr-WT",12,1332,"Lab 2"
"2-Ctr-WT1","Ctr-WT",15,1566,"Lab 2"
"2-Ctr-KO10","Ctr-KO",0,246,"Lab 2"
"2-Ctr-KO10","Ctr-KO",3,696,"Lab 2"
"2-Ctr-KO10","Ctr-KO",6,1288,"Lab 2"
"2-Ctr-KO11","Ctr-KO",0,282,"Lab 2"
"2-Ctr-KO11","Ctr-KO",3,518,"Lab 2"
"2-Ctr-KO11","Ctr-KO",6,696,"Lab 2"
"2-Ctr-KO11","Ctr-KO",9,1504,"Lab 2"
"2-Ctr-KO11","Ctr-KO",12,1581,"Lab 2"
"2-Ctr-KO11","Ctr-KO",15,1352,"Lab 2"
"2-Ctr-KO12","Ctr-KO",0,454,"Lab 2"
"2-Ctr-KO12","Ctr-KO",3,1031,"Lab 2"
"2-Ctr-KO13","Ctr-KO",0,293,"Lab 2"
"2-Ctr-KO13","Ctr-KO",3,395,"Lab 2"
"2-Ctr-KO13","Ctr-KO",6,618,"Lab 2"
"2-Ctr-KO13","Ctr-KO",9,883,"Lab 2"
"2-Ctr-KO13","Ctr-KO",12,956,"Lab 2"
"2-Ctr-KO13","Ctr-KO",15,963,"Lab 2"
"2-Ctr-KO14","Ctr-KO",0,292,"Lab 2"
"2-Ctr-KO14","Ctr-KO",3,479,"Lab 2"
"2-Ctr-KO14","Ctr-KO",6,951,"Lab 2"
"2-Ctr-KO14","Ctr-KO",9,1345,"Lab 2"
"2-Ctr-KO14","Ctr-KO",12,1715,"Lab 2"
"2-Ctr-KO14","Ctr-KO",15,1832,"Lab 2"
"2-Ctr-KO15","Ctr-KO",0,239,"Lab 2"
"2-Ctr-KO15","Ctr-KO",3,693,"Lab 2"
"2-Ctr-KO15","Ctr-KO",6,963,"Lab 2"
"2-Ctr-KO15","Ctr-KO",9,1816,"Lab 2"
"2-Ctr-KO16","Ctr-KO",0,313,"Lab 2"
"2-Ctr-KO16","Ctr-KO",3,520,"Lab 2"
"2-Ctr-KO16","Ctr-KO",6,614,"Lab 2"
"2-Ctr-KO16","Ctr-KO",9,716,"Lab 2"
"2-Ctr-KO16","Ctr-KO",12,1621,"Lab 2"
"2-Ctr-KO16","Ctr-KO",15,1039,"Lab 2"
"2-Ctr-KO17","Ctr-KO",0,357,"Lab 2"
"2-Ctr-KO17","Ctr-KO",3,424,"Lab 2"
"2-Ctr-KO17","Ctr-KO",6,656,"Lab 2"
"2-Ctr-KO17","Ctr-KO",9,694,"Lab 2"
"2-Ctr-KO17","Ctr-KO",12,574,"Lab 2"
"2-Ctr-KO17","Ctr-KO",15,824,"Lab 2"
"2-Ctr-KO18","Ctr-KO",0,503,"Lab 2"
"2-Ctr-KO18","Ctr-KO",3,646,"Lab 2"
"2-Ctr-KO18","Ctr-KO",6,1414,"Lab 2"
"2-Ctr-KO18","Ctr-KO",9,1833,"Lab 2"
"2-Trt-WT19","Trt-WT",0,215,"Lab 2"
"2-Trt-WT19","Trt-WT",3,419,"Lab 2"
"2-Trt-WT19","Trt-WT",6,562,"Lab 2"
"2-Trt-WT19","Trt-WT",9,415,"Lab 2"
"2-Trt-WT19","Trt-WT",12,910,"Lab 2"
"2-Trt-WT19","Trt-WT",15,647,"Lab 2"
"2-Ctr-WT2","Ctr-WT",0,223,"Lab 2"
"2-Ctr-WT2","Ctr-WT",3,450,"Lab 2"
"2-Ctr-WT2","Ctr-WT",6,1285,"Lab 2"
"2-Ctr-WT2","Ctr-WT",9,1342,"Lab 2"
"2-Ctr-WT2","Ctr-WT",12,1465,"Lab 2"
"2-Trt-WT20","Trt-WT",0,112,"Lab 2"
"2-Trt-WT20","Trt-WT",3,378,"Lab 2"
"2-Trt-WT20","Trt-WT",6,477,"Lab 2"
"2-Trt-WT20","Trt-WT",9,584,"Lab 2"
"2-Trt-WT20","Trt-WT",12,1308,"Lab 2"
"2-Trt-WT20","Trt-WT",15,834,"Lab 2"
"2-Trt-WT21","Trt-WT",0,390,"Lab 2"
"2-Trt-WT21","Trt-WT",3,705,"Lab 2"
"2-Trt-WT21","Trt-WT",6,1002,"Lab 2"
"2-Trt-WT22","Trt-WT",0,310,"Lab 2"
"2-Trt-WT22","Trt-WT",3,523,"Lab 2"
"2-Trt-WT22","Trt-WT",6,1207,"Lab 2"
"2-Trt-WT22","Trt-WT",9,1052,"Lab 2"
"2-Trt-WT22","Trt-WT",12,811,"Lab 2"
"2-Trt-WT22","Trt-WT",15,1074,"Lab 2"
"2-Trt-WT23","Trt-WT",0,194,"Lab 2"
"2-Trt-WT23","Trt-WT",3,392,"Lab 2"
"2-Trt-WT23","Trt-WT",6,883,"Lab 2"
"2-Trt-WT23","Trt-WT",9,1754,"Lab 2"
"2-Trt-WT23","Trt-WT",12,1683,"Lab 2"
"2-Trt-WT23","Trt-WT",15,1560,"Lab 2"
