"IDmouse","ExpGroup","Date","time","TVolume"
"ID-33","Carboplatin",2024-04-05,18,783.0814215
"ID-27","Carboplatin",2024-04-05,18,482.7130835
"ID-30","Carboplatin",2024-04-05,18,368.63388
"ID-14","Carboplatin",2024-04-05,18,636.615558
"ID-19","Carboplatin",2024-04-05,18,219.790692
"ID-35","Gefitinib",2024-04-05,18,1233.07808
"ID-8","Gefitinib",2024-04-05,18,1461.300203
"ID-26","Gefitinib",2024-04-05,18,582.9426
"ID-18","Gefitinib",2024-04-05,18,651.758016
"ID-20","Carboplatin + Gefitinib",2024-04-05,18,1101.883251
"ID-24","Carboplatin + Gefitinib",2024-04-05,18,170.2675
"ID-21","Carboplatin + Gefitinib",2024-04-05,18,375.9066155
"ID-11","Carboplatin + Gefitinib",2024-04-05,18,614.7866875
"ID-10","Carboplatin + Gefitinib",2024-04-05,18,814.219264
"ID-29","Carboplatin + Gefitinib",2024-04-05,18,32.7230035
"ID-23","Carboplatin + Gefitinib",2024-04-05,18,38.264919
"ID-1","Carboplatin + Gefitinib",2024-04-05,18,464.6616975
"ID-31","Carboplatin + Gefitinib",2024-04-05,18,201.6140625
"ID-15","Vehicle",2024-04-08,21,905.543942
"ID-9","Vehicle",2024-04-08,21,749.262252
"ID-32","Vehicle",2024-04-08,21,1523.7990475
"ID-6","Vehicle",2024-04-08,21,703.495694
"ID-34","Carboplatin",2024-04-08,21,1661.535648
"ID-4","Carboplatin",2024-04-08,21,1395.9168
"ID-2","Carboplatin",2024-04-08,21,2042.659296
"ID-7","Carboplatin",2024-04-08,21,200.4017495
"ID-33","Carboplatin",2024-04-08,21,1008.841296
"ID-27","Carboplatin",2024-04-08,21,557.52897
"ID-30","Carboplatin",2024-04-08,21,528.3567345
"ID-14","Carboplatin",2024-04-08,21,743.297917
"ID-19","Carboplatin",2024-04-08,21,263.8125
"ID-35","Gefitinib",2024-04-08,21,1528.0287305
"ID-8","Gefitinib",2024-04-08,21,1845.016576
"ID-26","Gefitinib",2024-04-08,21,653.1775415
"ID-18","Gefitinib",2024-04-08,21,713.288896
"ID-20","Carboplatin + Gefitinib",2024-04-08,21,1275.6632915
"ID-24","Carboplatin + Gefitinib",2024-04-08,21,223.945803
"ID-21","Carboplatin + Gefitinib",2024-04-08,21,199.6146075
"ID-11","Carboplatin + Gefitinib",2024-04-08,21,356.45022
"ID-10","Carboplatin + Gefitinib",2024-04-08,21,905.39654
"ID-29","Carboplatin + Gefitinib",2024-04-08,21,13.5
"ID-23","Carboplatin + Gefitinib",2024-04-08,21,41.089477
"ID-1","Carboplatin + Gefitinib",2024-04-08,21,526.352904
"ID-31","Carboplatin + Gefitinib",2024-04-08,21,227.3491
"ID-15","Vehicle",2024-04-10,23,1084.634992
"ID-9","Vehicle",2024-04-10,23,872.632683
"ID-33","Carboplatin",2024-04-10,23,946.3453385
"ID-27","Carboplatin",2024-04-10,23,626.1310125
"ID-30","Carboplatin",2024-04-10,23,653.711796
"ID-14","Carboplatin",2024-04-10,23,805.724438
"ID-19","Carboplatin",2024-04-10,23,251.256
"ID-26","Gefitinib",2024-04-10,23,834.713525
"ID-18","Gefitinib",2024-04-10,23,982.3399415
"ID-20","Carboplatin + Gefitinib",2024-04-10,23,1368.938952
"ID-24","Carboplatin + Gefitinib",2024-04-10,23,268.838172
"ID-21","Carboplatin + Gefitinib",2024-04-10,23,98.567812
"ID-11","Carboplatin + Gefitinib",2024-04-10,23,237.408323
"ID-10","Carboplatin + Gefitinib",2024-04-10,23,1043.6184055
"ID-29","Carboplatin + Gefitinib",2024-04-10,23,13.5
"ID-23","Carboplatin + Gefitinib",2024-04-10,23,40.40065
"ID-1","Carboplatin + Gefitinib",2024-04-10,23,519.401324
"ID-31","Carboplatin + Gefitinib",2024-04-10,23,319.386728
"ID-15","Vehicle",2024-04-12,25,1277.4413565
"ID-9","Vehicle",2024-04-12,25,1018.5280875
"ID-33","Carboplatin",2024-04-12,25,1071.693188
"ID-27","Carboplatin",2024-04-12,25,789.507
"ID-30","Carboplatin",2024-04-12,25,746.2832625
"ID-14","Carboplatin",2024-04-12,25,938.693934
"ID-19","Carboplatin",2024-04-12,25,346.9312
"ID-26","Gefitinib",2024-04-12,25,886.1176395
"ID-18","Gefitinib",2024-04-12,25,976.26452
"ID-20","Carboplatin + Gefitinib",2024-04-12,25,1395.5086875
"ID-24","Carboplatin + Gefitinib",2024-04-12,25,306.707114
"ID-21","Carboplatin + Gefitinib",2024-04-12,25,71.407
"ID-11","Carboplatin + Gefitinib",2024-04-12,25,192.829455
"ID-10","Carboplatin + Gefitinib",2024-04-12,25,1210.060448
"ID-29","Carboplatin + Gefitinib",2024-04-12,25,13.5
"ID-23","Carboplatin + Gefitinib",2024-04-12,25,42.96
"ID-1","Carboplatin + Gefitinib",2024-04-12,25,687.397428
"ID-31","Carboplatin + Gefitinib",2024-04-12,25,369.688014
"ID-15","Vehicle",2024-04-15,28,1711.6268455
"ID-9","Vehicle",2024-04-15,28,1239.2449875
"ID-33","Carboplatin",2024-04-15,28,1122.85656
