"IDmouse","ExpGroup","time","TVolume"
"Trt-KO46","Trt-KO",15,262
"Trt-KO47","Trt-KO",0,78
"Trt-KO47","Trt-KO",3,205
"Trt-KO47","Trt-KO",6,255
"Trt-KO47","Trt-KO",9,385
"Trt-KO47","Trt-KO",12,284
"Trt-KO47","Trt-KO",15,404
"Trt-KO48","Trt-KO",0,146
"Trt-KO48","Trt-KO",3,216
"Trt-KO48","Trt-KO",6,292
"Trt-KO48","Trt-KO",9,281
"Trt-KO48","Trt-KO",12,315
"Trt-KO48","Trt-KO",15,464
"Ctr-WT5","Ctr-WT",0,101
"Ctr-WT5","Ctr-WT",3,202
"Ctr-WT5","Ctr-WT",6,367
"Ctr-WT5","Ctr-WT",9,860
"Ctr-WT5","Ctr-WT",12,1270
"Ctr-WT5","Ctr-WT",15,1678
"Ctr-WT6","Ctr-WT",0,92
"Ctr-WT6","Ctr-WT",3,186
"Ctr-WT6","Ctr-WT",6,583
"Ctr-WT6","Ctr-WT",9,641
"Ctr-WT6","Ctr-WT",12,927
"Ctr-WT6","Ctr-WT",15,1105
"Ctr-WT7","Ctr-WT",0,160
"Ctr-WT7","Ctr-WT",3,279
"Ctr-WT7","Ctr-WT",6,565
"Ctr-WT7","Ctr-WT",9,592
"Ctr-WT7","Ctr-WT",12,1294
"Ctr-WT7","Ctr-WT",15,1399
"Ctr-WT8","Ctr-WT",0,217
"Ctr-WT8","Ctr-WT",3,468
"Ctr-WT8","Ctr-WT",6,702
"Ctr-WT8","Ctr-WT",9,1364
"Ctr-WT8","Ctr-WT",12,1348
"Ctr-WT8","Ctr-WT",15,1579
"Ctr-WT9","Ctr-WT",0,119
"Ctr-WT9","Ctr-WT",3,274
"Ctr-WT9","Ctr-WT",6,465
"Ctr-WT9","Ctr-WT",9,751
"Ctr-WT9","Ctr-WT",12,874
"Ctr-WT9","Ctr-WT",15,1430
